release,fecha_planificada,modulo,ambiente,responsable,pruebas_planificadas,pruebas_ejecutadas,pruebas_aprobadas,pruebas_fallidas,pruebas_bloqueadas,defectos_criticos,defectos_altos,cobertura_automatizacion,cobertura_evidencia,pipeline_exitoso,cob_exitoso,duracion_despliegue_min,rollback,incidentes_post_release,riesgo
R25.1,2026-02-10,Core Banking,SIT,Equipo Core,69,51,39,12,0,1,0,69,87,0,1,62,1,0,Bloqueante
R25.1,2026-02-11,Pagos,UAT,Equipo Pagos,84,67,50,17,0,0,5,68,87,1,1,138,0,2,Alto
R25.1,2026-02-12,Préstamos,Preproducción,Equipo Créditos,55,45,34,10,1,0,2,56,74,1,1,47,0,3,Medio
R25.1,2026-02-13,Tarjetas,SIT,Equipo Canales,100,83,67,16,0,0,5,62,87,0,1,141,1,2,Alto
R25.1,2026-02-14,Canales Digitales,UAT,Equipo Core,101,81,67,14,0,0,2,50,77,0,1,55,0,2,Medio
R25.1,2026-02-15,AML/KYC,Preproducción,Equipo Pagos,102,80,65,15,0,0,4,68,75,1,1,116,0,2,Medio
R25.1,2026-02-16,COB/EOD,SIT,Equipo Créditos,83,67,56,11,0,0,1,49,80,1,0,107,0,1,Medio
R25.2,2026-04-10,Core Banking,UAT,Equipo Core,95,77,65,9,3,1,1,62,91,1,1,52,0,1,Bloqueante
R25.2,2026-04-11,Pagos,Preproducción,Equipo Pagos,120,101,88,13,0,0,1,75,79,1,1,111,1,3,Bajo
R25.2,2026-04-12,Préstamos,SIT,Equipo Créditos,114,96,86,10,0,0,5,78,77,1,1,55,0,3,Alto
R25.2,2026-04-13,Tarjetas,UAT,Equipo Canales,113,89,77,10,2,0,4,79,79,0,1,54,0,1,Alto
R25.2,2026-04-14,Canales Digitales,Preproducción,Equipo Core,102,88,74,14,0,1,3,55,77,1,1,45,1,0,Bloqueante
R25.2,2026-04-15,AML/KYC,SIT,Equipo Pagos,117,102,91,7,4,0,1,59,89,1,1,62,0,3,Bajo
R25.2,2026-04-16,COB/EOD,UAT,Equipo Créditos,124,107,92,13,2,0,3,76,85,1,0,50,0,3,Alto
R25.3,2026-06-10,Core Banking,Preproducción,Equipo Core,86,74,64,8,2,0,1,80,85,0,0,64,0,0,Alto
R25.3,2026-06-11,Pagos,SIT,Equipo Pagos,63,58,53,5,0,0,1,70,93,1,1,127,0,0,Bajo
R25.3,2026-06-12,Préstamos,UAT,Equipo Créditos,115,99,87,9,3,0,1,65,81,1,1,87,0,1,Bajo
R25.3,2026-06-13,Tarjetas,Preproducción,Equipo Canales,114,105,87,18,0,0,0,74,88,0,1,59,0,0,Medio
R25.3,2026-06-14,Canales Digitales,SIT,Equipo Core,123,108,94,12,2,0,3,69,80,1,1,41,0,0,Medio
R25.3,2026-06-15,AML/KYC,UAT,Equipo Pagos,124,114,106,7,1,0,1,75,93,1,1,150,0,1,Bajo
R25.3,2026-06-16,COB/EOD,Preproducción,Equipo Créditos,62,53,44,8,1,0,2,76,87,1,1,54,0,1,Medio
R26.1,2026-08-10,Core Banking,SIT,Equipo Core,79,72,70,0,2,0,0,92,92,0,0,99,0,1,Medio
R26.1,2026-08-11,Pagos,UAT,Equipo Pagos,122,109,106,3,0,0,1,71,84,1,1,148,0,0,Bajo
R26.1,2026-08-12,Préstamos,Preproducción,Equipo Créditos,86,81,70,11,0,0,3,90,99,1,1,120,0,0,Medio
R26.1,2026-08-13,Tarjetas,SIT,Equipo Canales,95,86,78,6,2,0,3,79,84,0,1,44,0,0,Alto
R26.1,2026-08-14,Canales Digitales,UAT,Equipo Core,123,111,99,10,2,0,0,76,93,1,1,141,0,1,Bajo
R26.1,2026-08-15,AML/KYC,Preproducción,Equipo Pagos,124,118,110,4,4,0,0,90,99,1,0,68,0,0,Medio
R26.1,2026-08-16,COB/EOD,SIT,Equipo Créditos,69,67,63,4,0,0,2,78,88,1,1,99,0,1,Bajo
